"Taxon sort","UltrataxonID","Taxon Level","SpNo","TaxonID","Taxon name","Taxon scientific name","Family common name","Family scientific name","Order","Population","Australian conservation status","Taxonomic notes","v2 change","v2 change notes"
1,,"sp",928,928,"Ostrich","Struthio camelus","Ostriches","Struthionidae","Struthioniformes","Introduced","Introduced",,,
2,"u","ssp",928,"u928","Eastern Ostrich","Struthio camelus massaicus","Ostriches","Struthionidae","Struthioniformes","Introduced","Introduced","Subspecies from Del Hoyo et al. (1992)",,
3,,"sp",2,2,"Southern Cassowary","Casuarius casuarius","Emus and Cassowaries","Casuariidae","Struthioniformes","Australian","Vulnerable",,"Order",
4,"u","ssp",2,"u2","Australian Southern Cassowary","Casuarius casuarius johnsonii","Emus and Cassowaries","Casuariidae","Struthioniformes","Endemic","Vulnerable","Subspecies from Marchant and Higgins (1990). Not recognised by Dickinson et al. (2013) or del Hoyo et al. (2014)","Order",
5,,"sp",1,1,"Emu","Dromaius novaehollandiae","Emus and Cassowaries","Casuariidae","Struthioniformes","Endemic","Least concern",,"Order",
6,"u","ssp",1,"u1a","Tasmanian Emu","Dromaius novaehollandiae diemenensis","Emus and Cassowaries","Casuariidae","Struthioniformes","Extinct, Endemic","Extinct","Subspecies from Marchant and Higgins (1990)","Order",
7,"u","ssp",1,"u1b","Mainland Emu","Dromaius novaehollandiae novaehollandiae","Emus and Cassowaries","Casuariidae","Struthioniformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1990)","Order",
8,"u","sp",740,"u740","King Island Emu","Dromaius ater","Emus and Cassowaries","Casuariidae","Struthioniformes","Extinct, Endemic","Extinct",,"Order",
9,"u","sp",741,"u741","Kangaroo Island Emu","Dromaius baudinianus","Emus and Cassowaries","Casuariidae","Struthioniformes","Extinct, Endemic","Extinct",,"Order",
10,"u","sp",199,"u199","Magpie Goose","Anseranas semipalmata","Magpie Goose","Anseranatidae","Anseriformes","Australian","Least concern",,,
11,"u","sp",745,"u745","Spotted Whistling-Duck","Dendrocygna guttata","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
12,"u","sp",205,"u205","Plumed Whistling-Duck","Dendrocygna eytoni","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
13,,"sp",204,204,"Wandering Whistling-Duck","Dendrocygna arcuata","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
14,"u","ssp",204,"u204","Torresian Wandering Whistling-Duck","Dendrocygna arcuata australis","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern","Subspecies from Del Hoyo et al. (1992)",,
15,"u","sp",216,"u216","Blue-billed Duck","Oxyura australis","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Near threatened",,,
16,"u","sp",213,"u213","Pink-eared Duck","Malacorhynchus membranaceus","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
17,,"sp",198,198,"Cape Barren Goose","Cereopsis novaehollandiae","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
18,"u","ssp",198,"u198b","Eastern Cape Barren Goose","Cereopsis novaehollandiae novaehollandiae","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern","Treated as a separate subspecies from grisea conta Marchant and Higgins (1990)",,
19,"u","ssp",198,"u198a","Recherche Cape Barren Goose","Cereopsis novaehollandiae grisea","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Vulnerable","Subspecies from Storr (1980), contra Marchant and Higgins (1990) which treated the species as monotypic",,
20,"u","sp",203,"u203","Black Swan","Cygnus atratus","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
21,"u","sp",906,"u906","Mute Swan","Cygnus olor","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant (from NZ introduction)","Introduced",,,
22,,"sp",799,799,"Canada Goose","Branta canadensis","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant (from NZ introduction)","Introduced",,,
23,"u","ssp",799,"u799","Eastern Canada Goose","Branta canadensis moffitti","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant (from NZ introduction)","Introduced","Subspecies from Ornithological Society of New Zealand (2010)","Genus, Subspecies scientific name","Subspecies classification changed based on Ornithological Society of New Zealand (2010)"
24,,"sp",206,206,"Radjah Shelduck","Radjah radjah","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,"Genus",
25,"u","ssp",206,"u206","Torresian Radjah Shelduck","Radjah radjah rufitergum","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern","Subspecies from Marchant and Higgins (1993)","Genus",
26,"u","sp",207,"u207","Australian Shelduck","Tadorna tadornoides","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
27,"u","sp",798,"u798","Paradise Shelduck","Tadorna variegata","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant","Vagrant",,,
28,"u","sp",215,"u215","Hardhead","Aythya australis","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
29,"u","sp",209,"u209","Garganey","Spatula querquedula","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant","Least concern",,"Genus",
30,,"sp",212,212,"Australasian Shoveler","Spatula rhynchotis","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,"Genus",
31,"u","ssp",212,"u212","Australian Shoveler","Spatula rhynchotis rhynchotis","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1993). Not recognised by del Hoyo et al. (2014)","Genus",
32,"u","sp",905,"u905","Northern Shoveler","Spatula clypeata","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant","Vagrant",,"Genus",
33,"u","sp",8069,"u8069","Eurasian Wigeon","Mareca penelope","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant","Vagrant",,"Genus",
34,"u","sp",208,"u208","Pacific Black Duck","Anas superciliosa","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern","Treated as monotypic based on Marchant and Higgins (1990) contra Del Hoyo et al. (1992) which lists two subspecies - rogersi (Indo-Pacific) and superciliosa (NZ). If this species is revised as polytypic in the future superciliosa would be added to the Australian list (Macquarie Island).",,
35,"u","sp",948,"u948","Northern Mallard","Anas platyrhynchos","Ducks, Geese and Swans","Anatidae","Anseriformes","Introduced","Introduced",,,
36,"u","sp",211,"u211","Grey Teal","Anas gracilis","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern","Treated as monotypic based on Marchant and Higgins (1990) contra Del Hoyo et al. (1992) which lists two subspecies",,
37,"u","sp",210,"u210","Chestnut Teal","Anas castanea","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
38,"u","sp",800,"u800","Northern Pintail","Anas acuta","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant","Vagrant",,,
39,,"sp",9975,9975,"Common Teal","Anas crecca","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant","Vagrant",,,
40,"u","ssp",9975,"u9975","Eurasian Common Teal","Anas crecca crecca","Ducks, Geese and Swans","Anatidae","Anseriformes","Vagrant","Vagrant","Subspecies from Del Hoyo et al. (1992)",,
41,"u","sp",214,"u214","Freckled Duck","Stictonetta naevosa","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
42,"u","sp",217,"u217","Musk Duck","Biziura lobata","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
43,"u","sp",202,"u202","Australian Wood Duck","Chenonetta jubata","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern",,,
44,,"sp",200,200,"Cotton Pygmy-goose","Nettapus coromandelianus","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
45,"u","ssp",200,"u200","Australian Cotton Pygmy-goose","Nettapus coromandelianus albipennis","Ducks, Geese and Swans","Anatidae","Anseriformes","Endemic","Least concern","Subspecies from Del Hoyo et al. (1992)",,
46,"u","sp",201,"u201","Green Pygmy-goose","Nettapus pulchellus","Ducks, Geese and Swans","Anatidae","Anseriformes","Australian","Least concern",,,
47,,"sp",8,8,"Australian Brush-turkey","Alectura lathami","Megapodes","Megapodiidae","Galliformes","Endemic","Least concern",,,
48,"u","ssp",8,"u8a","Southern Australian Brush-turkey","Alectura lathami lathami","Megapodes","Megapodiidae","Galliformes","Endemic","Least concern","Subspecies from Ford (1987)",,
49,"u","ssp",8,"u8b","Cape York Australian Brush-turkey","Alectura lathami purpureicollis","Megapodes","Megapodiidae","Galliformes","Endemic","Least concern","Subspecies from Ford (1987)",,
50,"u","sp",7,"u7","Malleefowl","Leipoa ocellata","Megapodes","Megapodiidae","Galliformes","Endemic","Vulnerable",,,
51,,"sp",6,6,"Orange-footed Scrubfowl","Megapodius reinwardt","Megapodes","Megapodiidae","Galliformes","Australian","Least concern",,,
52,"u","ssp",6,"u6a","Southern Queensland Orange-footed Scrubfowl","Megapodius reinwardt castanonotus","Megapodes","Megapodiidae","Galliformes","Endemic","Least concern","Subspecies from Del Hoyo et al. (1994)",,
53,"u","ssp",6,"u6b","Papuan Orange-footed Scrubfowl","Megapodius reinwardt reinwardt","Megapodes","Megapodiidae","Galliformes","Australian","Least concern","Subspecies from Del Hoyo et al. (1994)",,
54,"u","ssp",6,"u6c","Western Orange-footed Scrubfowl","Megapodius reinwardt tumulus","Megapodes","Megapodiidae","Galliformes","Endemic","Least concern","Subspecies from Del Hoyo et al. (1994)",,
55,"u","ssp",6,"u6d","Cape York Orange-footed Scrubfowl","Megapodius reinwardt yorki","Megapodes","Megapodiidae","Galliformes","Endemic","Least concern","Subspecies from Del Hoyo et al. (1994)",,
56,"u","sp",9939,"u9939","Helmeted Guineafowl","Numida meleagris","Guineafowl","Numididae","Galliformes","Introduced","Introduced",,,
57,,"sp",901,901,"California Quail","Callipepla californica","New World Quail","Odontophoridae","Galliformes","Introduced","Introduced",,,
58,"u","ssp",901,"u901","Western California Quail","Callipepla californica brunnescens","New World Quail","Odontophoridae","Galliformes","Introduced","Introduced","Subspecies from Del Hoyo et al. (1994)",,
59,"u","sp",903,"u903","Indian Peafowl","Pavo cristatus","Pheasants and Quail","Phasianidae","Galliformes","Introduced","Introduced",,,
60,"u","sp",9,"u9","Stubble Quail","Coturnix pectoralis","Pheasants and Quail","Phasianidae","Galliformes","Endemic","Least concern",,,
61,,"sp",11,11,"Brown Quail","Synoicus ypsilophora","Pheasants and Quail","Phasianidae","Galliformes","Australian","Least concern",,"Genus",
62,"u","ssp",11,"u11a","Mainland Brown Quail","Synoicus ypsilophora australis","Pheasants and Quail","Phasianidae","Galliformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1993)","Genus",
63,"u","ssp",11,"u11b","Tasmanian Brown Quail","Synoicus ypsilophora ypsilophora","Pheasants and Quail","Phasianidae","Galliformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1993)","Genus",
64,,"sp",12,12,"King Quail","Synoicus chinensis","Pheasants and Quail","Phasianidae","Galliformes","Australian","Least concern",,"Genus",
65,"u","ssp",12,"u12a","Western King Quail","Synoicus chinensis colletti","Pheasants and Quail","Phasianidae","Galliformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1993)","Genus",
66,"u","ssp",12,"u12b","Eastern King Quail","Synoicus chinensis victoriae","Pheasants and Quail","Phasianidae","Galliformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1993)","Genus",
67,"u","sp",902,"u902","Red Junglefowl","Gallus gallus","Pheasants and Quail","Phasianidae","Galliformes","Introduced","Introduced",,,
68,"u","sp",752,"u752","Green Junglefowl","Gallus varius","Pheasants and Quail","Phasianidae","Galliformes","Introduced","Introduced",,,
69,,"sp",950,950,"Common Pheasant","Phasianus colchicus","Pheasants and Quail","Phasianidae","Galliformes","Introduced","Introduced",,,
70,"u","ssp",950,"u950","Common Pheasant (ssp.)","Phasianus colchicus ssp.","Pheasants and Quail","Phasianidae","Galliformes","Introduced","Introduced","Subspecies ocurring in Australia uncertain. 31 Subspecies recognised Del Hoyo et al. (1994)",,
71,,"sp",778,778,"Wild Turkey","Meleagris gallopavo","Pheasants and Quail","Phasianidae","Galliformes","Introduced","Introduced",,,
72,"u","ssp",778,"u778","South Mexican Wild Turkey","Meleagris gallopavo gallopavo","Pheasants and Quail","Phasianidae","Galliformes","Introduced","Introduced","Subspecies from Del Hoyo et al. (1994)",,
73,"u","sp",777,"u777","Greater Flamingo","Phoenicopterus roseus","Flamingoes","Phoenicopteridae","Podicepiformes","Vagrant","Vagrant",,"Order",
74,,"sp",843,843,"Little Grebe","Tachybaptus ruficollis","Grebes","Podicipedidae","Podicepiformes","Vagrant","Vagrant","Some subspecies (including those that occur as vagrants in Australian territories) are sometimes known as 'Tricolored Grebe'. [BLI taxonomic note; Tachybaptus ruficollis (Sibley and Monroe 1990, 1993) was split into T. ruficollis and T. tricolor by Mlikovsky (2010) on the basis of tricolor's larger bill and darker underparts. Examination of material in Tring shows a very much darker belly than in other taxa, and bill size overall seems larger, but differences are otherwise unapparent. We do not accept the split.]","Order",
75,"u","ssp",843,"u843","Little Grebe (ssp.)","Tachybaptus ruficollis ssp.","Grebes","Podicipedidae","Podicepiformes","Vagrant","Vagrant","Subspecies vagrant to Australia uncertain. Could be T. r. tricolor or T. r. collaris.","Order",
76,,"sp",61,61,"Australasian Grebe","Tachybaptus novaehollandiae","Grebes","Podicipedidae","Podicepiformes","Australian","Least concern",,"Order",
77,"u","ssp",61,"u61","Australian Grebe","Tachybaptus novaehollandiae novaehollandiae","Grebes","Podicipedidae","Podicepiformes","Australian","Least concern","Subspecies from Marchant and Higgins (1990)","Order",
78,"u","sp",62,"u62","Hoary-headed Grebe","Poliocephalus poliocephalus","Grebes","Podicipedidae","Podicepiformes","Endemic","Least concern",,"Order",
79,,"sp",60,60,"Great Crested Grebe","Podiceps cristatus","Grebes","Podicipedidae","Podicepiformes","Australian","Least concern",,"Order",
80,"u","ssp",60,"u60","Australian Great Crested Grebe","Podiceps cristatus australis","Grebes","Podicipedidae","Podicepiformes","Endemic","Least concern","Subspecies from Marchant and Higgins (1990)","Order",
81,,"sp",957,957,"Rock Dove","Columba livia","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced",,,
82,"u","ssp",957,"u957","Common Rock Dove","Columba livia livia","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced","Subspecies from Schodde and Mason (1997)",,
83,,"sp",756,756,"White-throated Pigeon","Columba vitiensis","Pigeons and Doves","Columbidae","Columbiformes","Extinct (Australia only)","Extinct",,,
84,"u","ssp",756,"u756","Lord Howe White-throated Pigeon","Columba vitiensis godmanae","Pigeons and Doves","Columbidae","Columbiformes","Extinct, Endemic","Extinct","Subspecies from Schodde and Mason (1997)",,
85,"u","sp",28,"u28","White-headed Pigeon","Columba leucomela","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
86,,"sp",5067,5067,"Oriental Turtle Dove","Streptopelia orientalis","Pigeons and Doves","Columbidae","Columbiformes","Vagrant","Vagrant",,"new species record from BARC","new species record from BARC"
87,"u","ssp",5067,"u5067","Oriental Turtle Dove (ssp.)","Streptopelia orientalis ssp.","Pigeons and Doves","Columbidae","Columbiformes","Vagrant","Vagrant",,"new species record from BARC","new species record from BARC"
88,"u","sp",940,"u940","Barbary Dove","Streptopelia roseogrisea","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced","Barbary Dove (Streptopelia risoria) is reserved for domesticated or forms of the African Collared-dove (Streptopelia roseogrisea) based on ICZN Opinion 2215",,
89,,"sp",8055,8055,"Red Collared-Dove","Streptopelia tranquebarica","Pigeons and Doves","Columbidae","Columbiformes","Vagrant","Vagrant",,,
90,"u","ssp",8055,"u8055","Eastern Red Collared-Dove","Streptopelia tranquebarica humilis","Pigeons and Doves","Columbidae","Columbiformes","Vagrant","Vagrant","Subspecies from (Del Hoyo et al. 1997)",,
91,,"sp",989,989,"Spotted Dove","Streptopelia chinensis","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced",,,
92,"u","ssp",989,"u989a","Eastern Asian Spotted Dove","Streptopelia chinensis chinensis","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced","Subspecies from Schodde and Mason (1997)",,
93,"u","ssp",989,"u989b","Southern Asian Spotted Dove","Streptopelia chinensis tigrina","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced","Subspecies from Schodde and Mason (1997)",,
94,,"sp",988,988,"Laughing Dove","Streptopelia senegalensis","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced",,,
95,"u","ssp",988,"u988","African Laughing Dove","Streptopelia senegalensis senegalensis","Pigeons and Doves","Columbidae","Columbiformes","Introduced","Introduced","Subspecies from Schodde and Mason (1997)",,
96,,"sp",29,29,"Brown Cuckoo-Dove","Macropygia phasianella","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern","Species from del Hoyo et al. (2014)","Species revision (shuffle)","Split from Slender-billed Cuckoo-dove (Macropygia amboinensis) - New Guinea. Scientific name changes, but common name remains"
97,"u","ssp",29,"u29a","Southern Brown Cuckoo-Dove","Macropygia phasianella phasianella","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
98,"u","ssp",29,"u29b","Cape York Brown Cuckoo-Dove","Macropygia phasianella quinkan","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
99,"u","ssp",29,"u29c","Wet Tropics Brown Cuckoo-Dove","Macropygia phasianella robinsoni","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
100,"u","sp",44,"u44","Wonga Pigeon","Leucosarcia melanoleuca","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
101,"u","sp",38,"u38","Chestnut-quilled Rock-Pigeon","Petrophassa rufipennis","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
102,,"sp",37,37,"White-quilled Rock-Pigeon","Petrophassa albipennis","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
103,"u","ssp",37,"u37a","Western White-quilled Rock-Pigeon","Petrophassa albipennis albipennis","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
104,"u","ssp",37,"u37b","Stokes Range White-quilled Rock-Pigeon","Petrophassa albipennis boothi","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Near threatened","Subspecies from Schodde and Mason (1997)",,
105,,"sp",42,42,"Spinifex Pigeon","Geophaps plumifera","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","del Hoyo et al. (2014) suggest this is now a polytypic species (White-bellied Spinifex Pigeon Geophaps plumifera), with Geophaps plumifera leucogaster and Geophaps plumifera plumifera as subspeceis. This is currently being reviewed. Current listing of subspecies from Schodde and Mason (1997)",,
106,"u","ssp",42,"u42a","Pilbara Spinifex Pigeon","Geophaps plumifera ferruginea","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","del Hoyo et al. (2014) suggest this is a monotypic species (Pilbara Spinifex Pigeon Geophaps ferruginea). This is currently being reviewed. Current listing of subspecies from Schodde and Mason (1997)",,
107,"u","ssp",42,"u42b","Eastern Spinifex Pigeon","Geophaps plumifera leucogaster","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
108,"u","ssp",42,"u42c","North-western Spinifex Pigeon","Geophaps plumifera plumifera","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
109,,"sp",39,39,"Squatter Pigeon","Geophaps scripta","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
110,"u","ssp",39,"u39a","Northern Squatter Pigeon","Geophaps scripta peninsulae","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
111,"u","ssp",39,"u39b","Southern Squatter Pigeon","Geophaps scripta scripta","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
112,,"sp",40,40,"Partridge Pigeon","Geophaps smithii","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Vulnerable",,,
113,"u","ssp",40,"u40a","Western Partridge Pigeon","Geophaps smithii blaauwi","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Vulnerable","Subspecies from Schodde and Mason (1997)",,
114,"u","ssp",40,"u40b","Eastern Partridge Pigeon","Geophaps smithii smithii","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Vulnerable","Subspecies from Schodde and Mason (1997)",,
115,"u","sp",34,"u34","Common Bronzewing","Phaps chalcoptera","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
116,,"sp",35,35,"Brush Bronzewing","Phaps elegans","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
117,"u","ssp",35,"u35a","Eastern Brush Bronzewing","Phaps elegans elegans","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
118,"u","ssp",35,"u35b","Western Brush Bronzewing","Phaps elegans occidentalis","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
119,"u","sp",36,"u36","Flock Bronzewing","Phaps histrionica","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
120,,"sp",43,43,"Crested Pigeon","Ocyphaps lophotes","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
121,"u","ssp",43,"u43a","Eastern Crested Pigeon","Ocyphaps lophotes lophotes","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
122,"u","ssp",43,"u43b","Western Crested Pigeon","Ocyphaps lophotes whitlocki","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
123,"u","sp",31,"u31","Diamond Dove","Geopelia cuneata","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern",,,
124,,"sp",30,30,"Peaceful Dove","Geopelia placida","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern","Species from del Hoyo et al. (2014)","Species revision (shuffle)","Split from Zebra Dove (Geopelia striata) - SE Asia. Scientific name changes, but common name remains"
125,"u","ssp",30,"u30a","Pilbara Peaceful Dove","Geopelia placida clelandi","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
126,"u","ssp",30,"u30b","Papuan Peaceful Dove","Geopelia placida papua","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern","Subspecies from Schodde and Mason (1997)",,
127,"u","ssp",30,"u30c","Eastern Peaceful Dove","Geopelia placida placida","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
128,,"sp",32,32,"Bar-shouldered Dove","Geopelia humeralis","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern",,,
129,"u","ssp",32,"u32a","Pilbara Bar-shouldered Dove","Geopelia humeralis headlandi","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
130,"u","ssp",32,"u32b","Eastern Bar-shouldered Dove","Geopelia humeralis humeralis","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
131,"u","ssp",32,"u32c","Northern Bar-shouldered Dove","Geopelia humeralis inexpecta","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
132,,"sp",5063,5063,"Nicobar Pigeon","Caloenas nicobarica","Pigeons and Doves","Columbidae","Columbiformes","Vagrant","Vagrant",,"new species record from BARC","new species record from BARC"
133,"u","ssp",5063,"u5063","Nicobar Pigeon (ssp.)","Caloenas nicobarica nicobarica","Pigeons and Doves","Columbidae","Columbiformes","Vagrant","Vagrant",,"new species record from BARC","new species record from BARC"
134,,"sp",33,33,"Brown-capped Emerald-Dove","Chalcophaps longirostris","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern","Species from del Hoyo et al. (2014)","Species revision (shuffle)","Emerald Dove (Chalcophaps indica) split into Grey-capped Emeral- Dove (Chalcophaps indica) and Brown-capped Emerald-Dove (Chalcophaps longirostris)"
135,"u","ssp",33,"u33a","Eastern Brown-capped Emerald-Dove","Chalcophaps longirostris rogersi","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern","Subspecies from del Hoyo et al. (2014)",,
136,"u","ssp",33,"u33b","North-western Brown-capped Emerald-Dove","Chalcophaps longirostris longirostris","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
137,,"sp",5065,5065,"Grey-capped Emerald-Dove","Chalcophaps indica","Pigeons and Doves","Columbidae","Columbiformes","Australian","Near threatened","Species from del Hoyo et al. (2014)","Species revision (split)","Taxonomic change from del Hoyo et al. (2014)"
138,"u","ssp",5065,"u5065","Christmas Island Grey-capped Emerald-Dove","Chalcophaps indica natalis","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Near threatened","Subspecies from Schodde and Mason (1997)",,
139,"u","sp",769,"u769","Blue-tailed Imperial-Pigeon","Ducula concinna","Pigeons and Doves","Columbidae","Columbiformes","Vagrant","Vagrant","Species from del Hoyo et al. (2014). This species was known as Elegant Imperial-Pigeon, however as the species is only vagrant to Australia, we prefer to follow international conventions of nations to which the species is native.",,
140,"u","sp",805,"u805","Christmas Island Imperial-Pigeon","Ducula whartoni","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Near threatened",,,
141,,"sp",793,793,"Collared Imperial-Pigeon","Ducula mullerii","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern",,,
142,"u","ssp",793,"u793","Papuan Collared Imperial-Pigeon","Ducula mullerii mullerii","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern","Subspecies from Schodde and Mason (1997)",,
143,"u","sp",8839,"u8839","Torresian Imperial-Pigeon","Ducula spilorrhoa","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern","This taxon has previously been described as a polytypic species - Pied Imperial-Pigeon (Ducula bicolor) which included a Torresian subspecies - Ducula bicolor spilorrhoa (with a core Australian distribution) and a South-east Asian subspecies - Ducula bicolor bicolor among others and the species name applied in Australia until recently was Pied Imperial-Pigeon following following Christides and Boles (2008). However the taxon has more recently been split into separate species with the Australian (Torresian) taxon becoming Ducula spilorrhoa which is now as Torresian Imperial-Pigeon. An additional taxon D. s. constans endemic to the Kimberelys is sometimes also recognised.",,
144,"u","sp",24,"u24","Banded Fruit-Dove","Ptilinopus alligator","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Species from del Hoyo et al. (2014)","Species revision (shuffle)","Split form Banded Fruit-Dove (Ptilinopus cinctus) formerely compirsing P. alligator and P. cinctus to monotypic species."
145,,"sp",25,25,"Wompoo Fruit-Dove","Ptilinopus magnificus","Pigeons and Doves","Columbidae","Columbiformes","Australian","Least concern",,,
146,"u","ssp",25,"u25a","Cape York Wompoo Fruit-Dove","Ptilinopus magnificus assimilis","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
147,"u","ssp",25,"u25b","Wet Tropics Wompoo Fruit-Dove","Ptilinopus magnificus keri","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
148,"u","ssp",25,"u25c","Southern Wompoo Fruit-Dove","Ptilinopus magnificus magnificus","Pigeons and Doves","Columbidae","Columbiformes","Endemic","Least concern","Subspecies from Schodde and Mason (1997)",,
